timestamp,mc 1,mc 2,mc 3,mc 4,mc 5
16/3/2022 21:38,22.1,22,23.3,20.8,20.8
16/3/2022 22:35,25.2,28.9,27.3,23,23.8
16/3/2022 23:34,23.8,25.6,23.5,21.8,24.4
17/3/2022 0:30,26.5,19.7,21.8,22.2,19.7
17/3/2022 1:30,18.4,21.1,22.1,23.4,24.1
17/3/2022 2:35,23.1,22.2,22.1,21.3,21.3
17/3/2022 3:30,19.2,20,22.1,20.1,21.1
17/3/2022 4:36,20.4,19.9,18.6,19.1,20.1
17/3/2022 5:30,19.2,18.6,18.7,18.7,20.3
17/3/2022 6:30,16.8,17.6,17.5,16.6,17.7
17/3/2022 7:29,16.2,15.6,15.6,16.7,17.3
17/3/2022 9:09,14.6,14.6,14.1,15.2,15.2
17/3/2022 10:02,14.3,13.6,14.6,14,14.7
17/3/2022 10:58,13.1,13.7,13.8,13.3,15
17/3/2022 13:08,11.3,11.8,11.8,11.5,11.8
